case_id,propulsion_case,changed_parameter,changed_value,raw_all_segment_min_thrust_margin_N,approach_only_corrected_margin_N,corrected_all_segment_min_thrust_margin_N,raw_low_thrust_margin,approach_only_corrected_low_thrust_margin,corrected_all_segment_low_thrust_margin,approach_only_model_sensitive,sizing_or_schedule_low_thrust,unmet_electric_load_Wh,conclusion_status_approach_corrected,conclusion_status_all_segment_corrected
V05-0071_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,-158761.69686923758,-16952.365320562938,-76419.33912713946,True,True,True,False,True,222248.2108285679,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0072_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,-176299.97928954277,-36731.630113832456,-42132.71982823596,True,True,True,False,True,950085.5040583595,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0073_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,-181842.20690846068,-38746.7023557117,-42894.859367219906,True,True,True,False,True,950085.5040583595,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0074_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,-145523.12092411137,-1971.7321507122251,-78139.72681221722,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0075_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,-151067.09332681732,-3987.764023674914,-81580.5021823728,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0076_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=0,-99016.21289793676,26067.62578592076,-38919.18539972878,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0077_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=0,-99016.21289793676,26067.62578592076,-38919.18539972878,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0078_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=0,-99016.21289793676,26067.62578592076,-38919.18539972878,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0079_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=0,-99016.21289793676,26067.62578592076,-38919.18539972878,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0080_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=0,-106986.3324935339,23233.726580638417,-40015.70454643761,True,False,True,True,True,0.0,rejected_above_mtow_upper,rejected_all_segment_low_thrust_margin
