case_id,case_family,changed_parameter,changed_value,propulsion_case,mission_fuel_kg,fuel_delta_vs_baseline_pct,estimated_mtow_kg,mtow_margin_to_upper_kg,min_thrust_margin_N,min_thrust_margin_ratio,raw_min_thrust_margin_N,raw_min_thrust_margin_ratio,raw_low_thrust_margin,raw_limiting_segment,corrected_approach_min_thrust_margin_N,corrected_approach_min_thrust_margin_ratio,corrected_low_thrust_margin,approach_model_sensitive,sizing_or_schedule_low_thrust,unmet_electric_load,unmet_electric_load_Wh,within_mtow_upper_bound,feasible_basic_raw,feasible_basic_corrected,takeoff_proxy_index,landing_proxy_index,constraint_count,conclusion_status_raw,conclusion_status_corrected,conclusion_status
V05-0005_hybrid,one_at_a_time,cruise_tsfc_multiplier,1.1,adaptive_cycle_plus_hybrid_electric,13340.54600825452,-2.7136982286403577,94540.54600825452,459.4539917454822,-41362.484843241036,-0.7555422456084822,-146681.8638944585,-0.7375928945397836,True,approach_landing,-41362.484843241036,-0.7555422456084822,True,False,True,True,287117.0432304107,True,False,False,9586.768413802614,1348.9069848436504,8,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0006_baseline,one_at_a_time,cruise_ld,13.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,-104611.55537619304,-0.5807301516292886,True,approach_landing,-39897.2915536737,-0.7488197179718766,True,False,True,False,0.0,True,False,False,7857.667309022469,1291.9393037068376,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0006_adaptive,one_at_a_time,cruise_ld,13.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,-102980.47687972552,-0.5730802257589652,True,approach_landing,-39823.36356221416,-0.7484707132331708,True,False,True,False,0.0,True,False,False,7230.174613347759,1287.753860168884,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0006_hybrid,one_at_a_time,cruise_ld,13.0,adaptive_cycle_plus_hybrid_electric,12443.225045810233,-9.257436234873857,93643.22504581024,1356.7749541897647,-41330.10106467904,-0.7553975549654726,-146505.56341178864,-0.7373600561524687,True,approach_landing,-41330.10106467904,-0.7553975549654726,True,False,True,True,287117.0432304107,True,False,False,9405.570797792094,1347.7497482992721,8,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0007_baseline,one_at_a_time,cruise_ld,15.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,-104611.55537619304,-0.5807301516292886,True,approach_landing,-39897.2915536737,-0.7488197179718766,True,False,True,False,0.0,True,False,False,7857.667309022469,1291.9393037068376,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0007_adaptive,one_at_a_time,cruise_ld,15.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,-102980.47687972552,-0.5730802257589652,True,approach_landing,-39823.36356221416,-0.7484707132331708,True,False,True,False,0.0,True,False,False,7230.174613347759,1287.753860168884,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0007_hybrid,one_at_a_time,cruise_ld,15.0,adaptive_cycle_plus_hybrid_electric,12443.225045810233,-9.257436234873857,93643.22504581024,1356.7749541897647,-41330.10106467904,-0.7553975549654726,-146505.56341178864,-0.7373600561524687,True,approach_landing,-41330.10106467904,-0.7553975549654726,True,False,True,True,287117.0432304107,True,False,False,9405.570797792094,1347.7497482992721,8,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0008_baseline,one_at_a_time,cruise_ld,17.0,baseline_fixed_cycle_turbofan,13124.771727492087,-4.287238155699062,90134.72739167418,4865.272608325817,-39884.83360130622,-0.7487609734159075,-104521.02729188984,-0.5805193422223169,True,approach_landing,-39884.83360130622,-0.7487609734159075,True,False,True,False,0.0,True,False,False,7757.419144509979,1291.2911036984156,4,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0008_adaptive,one_at_a_time,cruise_ld,17.0,adaptive_cycle_turbofan,11286.125642897807,-17.69561572329549,88294.5989699087,6705.401030091307,-39808.55751455427,-0.7484006991435841,-102872.83471362563,-0.5728243380332734,True,approach_landing,-39808.55751455427,-0.7484006991435841,True,False,True,False,0.0,True,False,False,7124.17682784773,1286.9815654947652,4,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0008_hybrid,one_at_a_time,cruise_ld,17.0,adaptive_cycle_plus_hybrid_electric,12233.17925631098,-10.789200980513499,93451.19276976101,1548.807230238992,-41330.9960986534,-0.7554015562765636,-146512.07139179952,-0.737368658525137,True,approach_landing,-41330.9960986534,-0.7554015562765636,True,False,True,True,287117.0432304107,True,False,False,9367.017950173687,1347.7924830959744,7,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0009_baseline,one_at_a_time,cruise_ld,18.0,baseline_fixed_cycle_turbofan,12517.408756691468,-8.716449465753202,89531.42790349334,5468.5720965066575,-39870.64499366417,-0.7486940346050793,-104417.92323798167,-0.5802789892614877,True,approach_landing,-39870.64499366417,-0.7486940346050793,True,False,True,False,0.0,True,False,False,7653.873689161607,1290.5525017063028,4,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0009_adaptive,one_at_a_time,cruise_ld,18.0,adaptive_cycle_turbofan,10786.150989592545,-21.34169474955049,87797.03291169624,7202.967088303762,-39796.586005933525,-0.7483440603738545,-102785.80018915544,-0.572617214550212,True,approach_landing,-39796.586005933525,-0.7483440603738545,True,False,True,False,0.0,True,False,False,7044.072507886783,1286.356819924892,4,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0009_hybrid,one_at_a_time,cruise_ld,18.0,adaptive_cycle_plus_hybrid_electric,11712.448647393281,-14.586643388748138,92917.67983235492,2082.3201676450844,-41312.275521884716,-0.7553178373717494,-146375.95025438967,-0.7371886135469943,True,approach_landing,-41312.275521884716,-0.7553178373717494,True,False,True,True,287117.0432304107,True,False,False,9260.324195586738,1346.8983782301668,7,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0010_baseline,one_at_a_time,mtow_upper_kg,87500.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,-3214.991182497106,-39897.2915536737,-0.7488197179718766,-104611.55537619304,-0.5807301516292886,True,approach_landing,-39897.2915536737,-0.7488197179718766,True,False,True,False,0.0,False,False,False,7857.667309022469,1291.9393037068376,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
