case_name,segment_name,weight_N,speed_mps,altitude_m,gamma_deg,drag_N,weight_component_along_path_N,required_thrust_level_flight_N,required_thrust_descent_N,available_thrust_N,electric_thrust_proxy_N,net_required_thrust_after_electric_N,thrust_margin_level_flight_N,thrust_margin_descent_N,thrust_margin_change_due_to_descent_N,conclusion_flag,approach_drag_factor,rating,electric_assist_enabled,engine_available_thrust_N,mission_required_thrust_N,mission_thrust_margin_N,unmet_electric_load_Wh
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.5,123541.30307156866,-46993.691430953964,123541.30307156866,76547.61164061469,76715.96395164705,0.0,76547.61164061469,-46825.33911992161,168.35231103235856,46993.69143095397,constraint_sensitive_to_approach_model,1.25,approach,False,76715.96395164705,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.5,123541.30307156866,-46993.691430953964,123541.30307156866,76547.61164061469,194547.43352272263,0.0,76547.61164061469,71006.13045115396,117999.82188210794,46993.69143095397,no_low_margin_in_force_balance,1.25,climb,False,194547.43352272263,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,81959.34184813855,-35391.093752136156,81959.34184813855,46568.24809600239,76715.96395164705,0.0,46568.24809600239,-5243.377896491496,30147.71585564466,35391.093752136156,constraint_sensitive_to_approach_model,0.75,approach,False,76715.96395164705,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,81959.34184813855,-35391.093752136156,81959.34184813855,46568.24809600239,52183.75015945631,17683.253955191904,28884.994140810486,-29775.591688682238,5615.502063453918,35391.093752136156,constraint_sensitive_to_approach_model,0.75,approach,True,34500.496204264404,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,81959.34184813855,-35391.093752136156,81959.34184813855,46568.24809600239,194547.43352272263,0.0,46568.24809600239,112588.09167458408,147979.18542672024,35391.09375213616,no_low_margin_in_force_balance,0.75,climb,False,194547.43352272263,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,81959.34184813855,-35391.093752136156,81959.34184813855,46568.24809600239,170015.21973053188,17683.253955191904,28884.994140810486,88055.87788239334,123446.9716345295,35391.09375213616,no_low_margin_in_force_balance,0.75,climb,True,152331.96577533998,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,109279.12246418472,-35391.093752136156,109279.12246418472,73888.02871204857,76715.96395164705,0.0,73888.02871204857,-32563.158512537673,2827.935239598475,35391.09375213615,constraint_sensitive_to_approach_model,1.0,approach,False,76715.96395164705,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,109279.12246418472,-35391.093752136156,109279.12246418472,73888.02871204857,52183.75015945631,17683.253955191904,56204.77475685667,-57095.372304728415,-21704.278552592266,35391.09375213615,sizing_or_schedule_issue,1.0,approach,True,34500.496204264404,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,109279.12246418472,-35391.093752136156,109279.12246418472,73888.02871204857,194547.43352272263,0.0,73888.02871204857,85268.3110585379,120659.40481067405,35391.09375213615,no_low_margin_in_force_balance,1.0,climb,False,194547.43352272263,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,109279.12246418472,-35391.093752136156,109279.12246418472,73888.02871204857,170015.21973053188,17683.253955191904,56204.77475685667,60736.09726634716,96127.19101848331,35391.09375213615,no_low_margin_in_force_balance,1.0,climb,True,152331.96577533998,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,136598.9030802309,-35391.093752136156,136598.9030802309,101207.80932809474,76715.96395164705,0.0,101207.80932809474,-59882.93912858385,-24491.845376447687,35391.09375213616,sizing_or_schedule_issue,1.25,approach,False,76715.96395164705,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,136598.9030802309,-35391.093752136156,136598.9030802309,101207.80932809474,52183.75015945631,17683.253955191904,83524.55537290283,-84415.15292077459,-49024.05916863843,35391.09375213616,sizing_or_schedule_issue,1.25,approach,True,34500.496204264404,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,136598.9030802309,-35391.093752136156,136598.9030802309,101207.80932809474,194547.43352272263,0.0,101207.80932809474,57948.53044249173,93339.62419462789,35391.09375213616,no_low_margin_in_force_balance,1.25,climb,False,194547.43352272263,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-2.5,136598.9030802309,-35391.093752136156,136598.9030802309,101207.80932809474,170015.21973053188,17683.253955191904,83524.55537290283,33416.316650300985,68807.41040243715,35391.09375213616,no_low_margin_in_force_balance,1.25,climb,True,152331.96577533998,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,81959.34184813855,-42463.38258922159,81959.34184813855,39495.959258916955,76715.96395164705,0.0,39495.959258916955,-5243.377896491496,37220.004692730094,42463.38258922159,constraint_sensitive_to_approach_model,0.75,approach,False,76715.96395164705,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,81959.34184813855,-42463.38258922159,81959.34184813855,39495.959258916955,52183.75015945631,17683.253955191904,21812.70530372505,-29775.591688682238,12687.790900539352,42463.38258922159,constraint_sensitive_to_approach_model,0.75,approach,True,34500.496204264404,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,81959.34184813855,-42463.38258922159,81959.34184813855,39495.959258916955,194547.43352272263,0.0,39495.959258916955,112588.09167458408,155051.47426380566,42463.38258922158,no_low_margin_in_force_balance,0.75,climb,False,194547.43352272263,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,81959.34184813855,-42463.38258922159,81959.34184813855,39495.959258916955,170015.21973053188,17683.253955191904,21812.70530372505,88055.87788239334,130519.26047161492,42463.38258922158,no_low_margin_in_force_balance,0.75,climb,True,152331.96577533998,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,109279.12246418472,-42463.38258922159,109279.12246418472,66815.73987496312,76715.96395164705,0.0,66815.73987496312,-32563.158512537673,9900.224076683924,42463.3825892216,constraint_sensitive_to_approach_model,1.0,approach,False,76715.96395164705,198689.31357124491,-146505.56341178864,287117.0432304107
