case_id,propulsion_case,changed_parameter,changed_value,non_approach_limiting_segment,non_approach_min_thrust_margin_N,non_approach_low_thrust_margin,suspected_driver
V05-0057_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-41668.50246948452,True,descent_surrogate_idle_drag_balance
V05-0058_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-41668.50246948452,True,descent_surrogate_idle_drag_balance
V05-0059_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-41668.50246948452,True,descent_surrogate_idle_drag_balance
V05-0060_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,descent,-40805.751872479144,True,descent_surrogate_idle_drag_balance
V05-0061_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,descent,-41168.56557261608,True,descent_surrogate_idle_drag_balance
V05-0062_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,takeoff,-48212.680862765,True,takeoff_thrust_or_lift_proxy
V05-0063_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,takeoff,-49933.06854784276,True,takeoff_thrust_or_lift_proxy
V05-0064_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,descent,-41907.551072418064,True,descent_surrogate_idle_drag_balance
V05-0065_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,descent,-42283.722872083075,True,descent_surrogate_idle_drag_balance
V05-0066_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,takeoff,-53373.84391799831,True,takeoff_thrust_or_lift_proxy
V05-0067_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,takeoff,-55094.2316030761,True,takeoff_thrust_or_lift_proxy
V05-0068_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,descent,-41022.905768580196,True,descent_surrogate_idle_drag_balance
V05-0069_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,descent,-41758.329108508,True,descent_surrogate_idle_drag_balance
V05-0070_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,takeoff,-72978.56375698392,True,takeoff_thrust_or_lift_proxy
V05-0071_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,takeoff,-76419.33912713946,True,takeoff_thrust_or_lift_proxy
V05-0072_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,descent,-42132.71982823596,True,descent_surrogate_idle_drag_balance
V05-0073_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,descent,-42894.859367219906,True,descent_surrogate_idle_drag_balance
